date,open,high,low,close
1982-01-05,106.48,106.48,106.48,106.48
1982-01-06,106.72,106.72,106.72,106.72
1982-01-07,106.93,106.93,106.93,106.93
1982-01-08,107.26,107.26,107.26,107.26
1982-01-11,107.28,107.28,107.28,107.28
1982-01-12,107.34,107.34,107.34,107.34
1982-01-13,107.18,107.18,107.18,107.18
1982-01-14,107.24,107.24,107.24,107.24
1982-01-15,107.16,107.16,107.16,107.16
1982-01-18,107.22,107.22,107.22,107.22
1982-01-19,106.83,106.83,106.83,106.83
1982-01-20,106.63,106.63,106.63,106.63
1982-01-21,106.54,106.54,106.54,106.54
1982-01-22,106.61,106.61,106.61,106.61
1982-01-25,106.73,106.73,106.73,106.73
1982-01-26,106.63,106.63,106.63,106.63
1982-01-27,106.96,106.96,106.96,106.96
1982-01-28,106.79,106.79,106.79,106.79
1982-01-29,106.77,106.77,106.77,106.77
1982-02-01,106.48,106.48,106.48,106.48
1982-02-02,106.43,106.43,106.43,106.43
1982-02-03,106.09,106.09,106.09,106.09
1982-02-04,105.97,105.97,105.97,105.97
1982-02-05,106.02,106.02,106.02,106.02
1982-02-09,105.58,105.58,105.58,105.58
1982-02-10,105.48,105.48,105.48,105.48
1982-02-11,106.11,106.11,106.11,106.11
1982-02-12,106.26,106.26,106.26,106.26
1982-02-15,106.35,106.35,106.35,106.35
1982-02-16,106.43,106.43,106.43,106.43
1982-02-17,106.22,106.22,106.22,106.22
1982-02-18,106.78,106.78,106.78,106.78
1982-02-19,106.87,106.87,106.87,106.87
1982-02-22,106.14,106.14,106.14,106.14
1982-02-23,106.28,106.28,106.28,106.28
1982-02-24,106.49,106.49,106.49,106.49
1982-02-25,106.24,106.24,106.24,106.24
1982-02-26,106.16,106.16,106.16,106.16
1982-03-01,105.96,105.96,105.96,105.96
1982-03-02,106.0,106.0,106.0,106.0
1982-03-03,105.86,105.86,105.86,105.86
1982-03-04,105.75,105.75,105.75,105.75
1982-03-05,105.43,105.43,105.43,105.43
1982-03-08,105.54,105.54,105.54,105.54
1982-03-09,105.65,105.65,105.65,105.65
1982-03-10,105.61,105.61,105.61,105.61
1982-03-11,105.39,105.39,105.39,105.39
1982-03-12,105.19,105.19,105.19,105.19
1982-03-15,105.11,105.11,105.11,105.11
1982-03-16,104.82,104.82,104.82,104.82
1982-03-17,104.55,104.55,104.55,104.55
1982-03-18,103.74,103.74,103.74,103.74
1982-03-19,103.55,103.55,103.55,103.55
1982-03-22,103.5,103.5,103.5,103.5
1982-03-23,103.33,103.33,103.33,103.33
1982-03-24,102.91,102.91,102.91,102.91
1982-03-25,102.96,102.96,102.96,102.96
1982-03-26,103.23,103.23,103.23,103.23
1982-03-29,102.86,102.86,102.86,102.86
1982-03-30,103.01,103.01,103.01,103.01
1982-03-31,102.98,102.98,102.98,102.98
