proj_id,name,nav_date,net_asset,last_val,sell_price,buy_price,sell_swap_price,buy_swap_price,last_upd_date,class_abbr_name,previous_val,unique_id,remark_th,remark_en
M0213_2561,B-INNOTECHRMF,2018-10-12,177007054.25,10.0003,10.0004,10.0003,10.0003,10.0004,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-16,183707534.21,10.098,10.0981,10.098,10.098,10.0981,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-17,185442906.6,10.0768,10.0769,10.0768,10.0768,10.0769,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-18,184441567.88,9.9764,9.9765,9.9764,9.9764,9.9765,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-19,185517432.95,9.9855,9.9856,9.9855,9.9855,9.9856,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-22,188605455.67,9.9865,9.9866,9.9865,9.9865,9.9866,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-24,188816998.22,9.8433,9.8434,9.8433,9.8433,9.8434,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-25,191116315.05,9.836,9.8361,9.836,9.836,9.8361,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-26,195829005.52,9.8037,9.8038,9.8037,9.8037,9.8038,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-29,200794800.72,9.8347,9.8348,9.8347,9.8347,9.8348,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-30,202587175.96,9.8623,9.8624,9.8623,9.8623,9.8624,,,,,,
M0213_2561,B-INNOTECHRMF,2018-10-31,207727573.67,10.0462,10.0463,10.0462,10.0462,10.0463,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-01,211380740.45,10.1748,10.1749,10.1748,10.1748,10.1749,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-02,210912128.1,10.1243,10.1244,10.1243,10.1243,10.1244,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-05,210980085.98,10.085,10.0851,10.085,10.085,10.0851,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-06,213316646.53,10.1768,10.1769,10.1768,10.1768,10.1769,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-07,218007263.07,10.328,10.3281,10.328,10.328,10.3281,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-08,218737190.54,10.3348,10.3349,10.3348,10.3348,10.3349,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-09,215813709.43,10.1823,10.1824,10.1823,10.1823,10.1824,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-13,214865721.5,10.0924,10.0925,10.0924,10.0924,10.0925,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-14,214126153.33,10.0254,10.0255,10.0254,10.0254,10.0255,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-15,215871163.78,10.0711,10.0712,10.0711,10.0711,10.0712,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-16,216440929.94,10.0766,10.0767,10.0766,10.0766,10.0767,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-19,214966310.76,9.9449,9.945,9.9449,9.9449,9.945,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-20,213317229.12,9.8087,9.8088,9.8087,9.8087,9.8088,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-21,216968547.64,9.9192,9.9193,9.9192,9.9192,9.9193,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-23,216617472.41,9.8516,9.8517,9.8516,9.8516,9.8517,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-26,220558901.09,9.9672,9.9673,9.9672,9.9672,9.9673,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-27,222252760.0,10.0027,10.0028,10.0027,10.0027,10.0028,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-28,223121362.93,10.0026,10.0027,10.0026,10.0026,10.0027,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-29,226932040.03,10.1371,10.1372,10.1371,10.1371,10.1372,,,,,,
M0213_2561,B-INNOTECHRMF,2018-11-30,227079623.58,10.1241,10.1242,10.1241,10.1241,10.1242,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-03,230835992.5,10.2701,10.2702,10.2701,10.2701,10.2702,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-04,229922357.73,10.1786,10.1787,10.1786,10.1786,10.1787,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-06,224569833.79,9.8723,9.8724,9.8723,9.8723,9.8724,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-07,226326312.04,9.8477,9.8478,9.8477,9.8477,9.8478,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-11,229466800.83,9.9088,9.9089,9.9088,9.9088,9.9089,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-12,234848911.29,10.023,10.0231,10.023,10.023,10.0231,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-13,233706060.3,9.9245,9.9246,9.9245,9.9245,9.9246,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-14,232675015.19,9.788,9.7881,9.788,9.788,9.7881,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-17,235336531.71,9.7493,9.7494,9.7493,9.7493,9.7494,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-18,236237640.08,9.6517,9.6518,9.6517,9.6517,9.6518,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-19,242534797.06,9.6816,9.6817,9.6816,9.6816,9.6817,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-20,236348227.07,9.3363,9.3364,9.3363,9.3363,9.3364,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-21,238167132.57,9.2701,9.2702,9.2701,9.2701,9.2702,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-24,235191018.61,9.0757,9.0758,9.0757,9.0757,9.0758,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-26,239040003.02,9.0851,9.0852,9.0851,9.0851,9.0852,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-27,251539777.51,9.2392,9.2393,9.2392,9.2392,9.2393,,,,,,
M0213_2561,B-INNOTECHRMF,2018-12-28,261627009.32,9.4153,9.4154,9.4153,9.4153,9.4154,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-02,268869061.27,9.3867,9.3868,9.3867,9.3867,9.3868,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-03,262523684.1,9.1632,9.1633,9.1632,9.1632,9.1633,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-04,268650377.45,9.3652,9.3653,9.3652,9.3652,9.3653,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-07,274952837.54,9.5749,9.575,9.5749,9.5749,9.575,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-08,275748988.0,9.5922,9.5923,9.5922,9.5922,9.5923,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-09,281754096.47,9.7955,9.7956,9.7955,9.7955,9.7956,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-10,281955232.03,9.7907,9.7908,9.7907,9.7907,9.7908,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-11,281503799.96,9.7731,9.7732,9.7731,9.7731,9.7732,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-14,278980407.01,9.6818,9.6819,9.6818,9.6818,9.6819,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-15,281850143.08,9.7799,9.78,9.7799,9.7799,9.78,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-16,282330221.42,9.7858,9.7859,9.7858,9.7858,9.7859,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-17,282067579.09,9.7694,9.7695,9.7694,9.7694,9.7695,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-18,288490034.9,9.9905,9.9906,9.9905,9.9905,9.9906,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-22,283310505.27,9.8009,9.801,9.8009,9.8009,9.801,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-23,281531118.58,9.7327,9.7328,9.7327,9.7327,9.7328,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-24,289090667.31,9.99,9.9901,9.99,9.99,9.9901,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-25,293205815.24,10.1306,10.1307,10.1306,10.1306,10.1307,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-28,289092086.7,9.9814,9.9815,9.9814,9.9814,9.9815,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-29,288683673.18,9.9637,9.9638,9.9637,9.9637,9.9638,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-30,290593486.67,10.027,10.0271,10.027,10.027,10.0271,,,,,,
M0213_2561,B-INNOTECHRMF,2019-01-31,295947509.95,10.208,10.2081,10.208,10.208,10.2081,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-01,297795786.55,10.2578,10.2579,10.2578,10.2578,10.2579,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-04,298497449.61,10.2748,10.2749,10.2748,10.2748,10.2749,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-05,301778035.03,10.3845,10.3846,10.3845,10.3845,10.3846,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-06,301607769.67,10.3813,10.3814,10.3813,10.3813,10.3814,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-07,295882946.0,10.1777,10.1778,10.1777,10.1777,10.1778,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-08,297474057.47,10.233,10.2331,10.233,10.233,10.2331,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-11,299351193.34,10.2958,10.2959,10.2958,10.2958,10.2959,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-12,303824503.79,10.4332,10.4333,10.4332,10.4332,10.4333,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-13,305360872.66,10.4882,10.4883,10.4882,10.4882,10.4883,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-14,305805473.46,10.5014,10.5015,10.5014,10.5014,10.5015,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-15,305139231.35,10.4693,10.4694,10.4693,10.4693,10.4694,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-20,305255580.31,10.4799,10.48,10.4799,10.4799,10.48,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-21,304107431.54,10.435,10.4351,10.435,10.435,10.4351,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-22,307157755.61,10.5379,10.538,10.5379,10.5379,10.538,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-25,309583034.84,10.6195,10.6196,10.6195,10.6195,10.6196,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-26,308500036.0,10.5776,10.5777,10.5776,10.5776,10.5777,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-27,307438336.79,10.5389,10.539,10.5389,10.5389,10.539,,,,,,
M0213_2561,B-INNOTECHRMF,2019-02-28,307146038.61,10.5206,10.5207,10.5206,10.5206,10.5207,,,,,,
M0213_2561,B-INNOTECHRMF,2019-03-01,309991511.32,10.5667,10.5668,10.5667,10.5667,10.5668,,,,,,
M0213_2561,B-INNOTECHRMF,2019-03-04,310350241.17,10.573,10.5731,10.573,10.573,10.5731,,,,,,
M0213_2561,B-INNOTECHRMF,2019-03-05,312444987.01,10.6214,10.6215,10.6214,10.6214,10.6215,,,,,,
M0213_2561,B-INNOTECHRMF,2019-03-06,312260064.66,10.6004,10.6005,10.6004,10.6004,10.6005,,,,,,
M0213_2561,B-INNOTECHRMF,2019-03-07,310134757.7,10.5058,10.5059,10.5058,10.5058,10.5059,,,,,,
